TIN,name,address,contact,sector,bank_account,registration_date,is_blacklisted
TIN00000,Cisneros-Taylor,"798 Fischer Meadows
West Joseph, OK 99650",904.626.8406,Retail,GB10KXYQ33520885813694,2022-07-05,False
TIN00001,Hansen LLC,"4064 Alexander Loop
Rachelview, SD 34945",001-871-916-5784x2622,Retail,GB17XFFE20779498865955,2023-03-21,False
TIN00002,Villarreal-Edwards,"731 Lopez Pass
East Carolineshire, MN 76710",(584)658-0488x3304,IT Services,GB82SQSW07101617586565,2024-06-25,False
TIN00003,Simpson-Brennan,"52021 Fernandez Skyway Apt. 560
Kellymouth, UT 51179",396.842.9240x871,Manufacturing,GB96YDFA74992388774846,2023-02-22,False
TIN00004,"Mckinney, Dennis and Lopez","230 Tyler Tunnel
East Michael, NY 83175",698-419-1641x45648,Manufacturing,GB65LZIT87893241872910,2022-12-21,False
TIN00005,Obrien-Simmons,"670 Keith Streets Suite 797
East Jameschester, MA 43846",001-581-437-7605x53889,Manufacturing,GB20UBMQ28612004617563,2022-07-27,False
TIN00006,"Nelson, Kim and Franklin","3056 Mccarthy Pines Suite 432
Christopherfurt, NC 26566",526.775.1680x824,Retail,GB88WIAJ77663950934510,2022-10-04,False
TIN00007,"Norton, Harper and Palmer","2624 Brian Curve
Davidhaven, VI 12810",001-708-825-1879x6354,Healthcare,GB45FAIT45438145220490,2023-08-16,False
TIN00008,Burnett Ltd,"1918 Tina Rest Suite 468
Michaelmouth, VA 44552",(722)562-7557x99037,Retail,GB93MNSN22149863060933,2022-08-24,False
TIN00009,"Smith, Terry and Salazar","3799 Jason Estate Suite 713
North Rachelborough, OK 74855",(432)518-2797x2318,Healthcare,GB23WRSR44568002158812,2021-05-25,False
TIN00010,"Hall, Ford and Simmons","704 Denise Cliffs Suite 223
Wendyview, OH 84922",001-929-385-2575x82599,Construction,GB59CLBC22605409195965,2022-02-22,False
